_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,_ip,notpossible,relations,events1,events2,index,notpossible_gold,pair1,pair10,pair11,pair12,pair13,pair14,pair15,pair16,pair17,pair18,pair19,pair2,pair20,pair21,pair22,pair23,pair24,pair25,pair26,pair27,pair28,pair29,pair3,pair30,pair4,pair5,pair6,pair7,pair8,pair9,relations_gold,sentence1,sentence1_id,sentence2,sentence2_id,relations_noDirection
1220654718,5/7/2017 16:53:17,2540180783,5/7/2017 16:52:31,False,prodege,0.9808,38202325,USA,ME,Caribou,98.13.82.121,,collapsed_68_77-r-damaged_86_93,collapsed_68_77###damaged_86_93,collapsed_68_77###damaged_86_93,1,,"collapsed_68_77, damaged_86_93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,collapsed_68_77--damaged_86_93
1220654718,5/7/2017 16:57:40,2540186638,5/7/2017 16:57:11,False,neodev,0.9899,39073124,USA,WA,Spokane,73.239.215.122,,collapsed_68_77--damaged_86_93,collapsed_68_77###damaged_86_93,collapsed_68_77###damaged_86_93,1,,"collapsed_68_77, damaged_86_93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,collapsed_68_77--damaged_86_93
1220654718,5/7/2017 16:58:03,2540187159,5/7/2017 16:57:05,False,neodev,0.983,18881135,CAN,ON,Whitby,174.119.194.25,,collapsed_68_77--damaged_86_93,collapsed_68_77###damaged_86_93,collapsed_68_77###damaged_86_93,1,,"collapsed_68_77, damaged_86_93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,collapsed_68_77--damaged_86_93
1220654718,5/7/2017 17:06:33,2540198340,5/7/2017 17:06:26,False,instagc,0.9788,20312760,GBR,C5,Crewe,79.69.32.185,,collapsed_68_77-r-damaged_86_93,collapsed_68_77###damaged_86_93,collapsed_68_77###damaged_86_93,1,,"collapsed_68_77, damaged_86_93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,collapsed_68_77--damaged_86_93
1220654718,5/7/2017 18:13:57,2540288005,5/7/2017 18:13:21,False,prodege,0.971,35229868,USA,CA,Manteca,67.181.20.65,Neither one caused the other.,no_relation,collapsed_68_77###damaged_86_93,collapsed_68_77###damaged_86_93,1,,"collapsed_68_77, damaged_86_93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,no_relation
1220654718,5/7/2017 18:31:27,2540310015,5/7/2017 18:31:02,False,clixsense,0.9674,24835873,GBR,I2,Manchester,79.76.117.118,not related,no_relation,collapsed_68_77###damaged_86_93,collapsed_68_77###damaged_86_93,1,,"collapsed_68_77, damaged_86_93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,no_relation
1220654718,5/7/2017 19:02:25,2540352255,5/7/2017 19:02:11,False,instagc,0.9756,14723284,USA,NY,New York,108.14.114.180,,collapsed_68_77--damaged_86_93,collapsed_68_77###damaged_86_93,collapsed_68_77###damaged_86_93,1,,"collapsed_68_77, damaged_86_93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,collapsed_68_77--damaged_86_93
1220654718,5/7/2017 19:06:15,2540356848,5/7/2017 19:06:04,False,instagc,0.9714,41290202,USA,RI,Kingston,131.128.73.4,,collapsed_68_77-r-damaged_86_93,collapsed_68_77###damaged_86_93,collapsed_68_77###damaged_86_93,1,,"collapsed_68_77, damaged_86_93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,collapsed_68_77--damaged_86_93
1220654718,5/7/2017 19:09:37,2540360805,5/7/2017 19:09:17,False,neodev,0.9711,11460728,CAN,BC,Burnaby,70.79.16.165,,collapsed_68_77--damaged_86_93,collapsed_68_77###damaged_86_93,collapsed_68_77###damaged_86_93,1,,"collapsed_68_77, damaged_86_93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,collapsed_68_77--damaged_86_93
1220654718,5/7/2017 20:30:27,2540467832,5/7/2017 20:21:14,False,clixsense,0.9737,21875134,GBR,N4,Stoke-on-trent,51.9.18.92,"Collapsed and damaged are both caused by the same ""something unknown"" but not caused by each other.",no_relation,collapsed_68_77###damaged_86_93,collapsed_68_77###damaged_86_93,1,,"collapsed_68_77, damaged_86_93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,Eyewitnesses and local residents say many homes and properties have collapsed or been damaged .,37_2ecbplus.xml_6,no_relation
